Plot,Transect,Quadrat,Genera,species,Count,Notes,Digitized_order
3330,1,1,Quercus,ellipsoidalis,1,,1
3330,1,1,Gaylussacia,baccata,,,2
3330,1,1,Maianthemum,canadense,,,3
3330,1,1,Rumex,acetosella,,,4
3330,1,1,Krigia,biflora,,,5
3330,1,1,Carex,siccata,,,6
3330,1,1,Elymus ,trachycaulus,,,7
3330,1,2,Quercus,ellipsoidalis,4,,8
3330,1,2,Accer,rubrum,1,,9
3330,1,2,Maianthemum,canadense,,,10
3330,1,2,Elymus ,trachycaulus,,,11
3330,1,2,Carex,siccata,,,12
3330,1,2,Sorghastrum,nutans,,,13
3330,1,2,Polygonatum,biflora,,,14
3330,1,3,Accer,rubrum,1,,15
3330,1,3,Gaylussacia,baccata,,,16
3330,1,3,Maianthemum,canadense,,,17
3330,1,3,Carex,siccata,,,18
3330,1,4,Quercus,ellipsoidalis,5,,19
3330,1,4,Acer,rubrum,1,,20
3330,1,4,Gaylussacia,baccata,,,21
3330,1,4,Maianthemum,canadense,,,22
3330,1,4,Carex,siccata,,,23
3330,1,5,Quercus,ellipsoidalis,1,,24
3330,1,5,Vaccinium,angustifolium,,,25
3330,1,5,Maianthemum,canadense,,,26
3330,1,5,Carex,siccata,,,27
3330,1,6,Quercus,ellipsoidalis,1,,28
3330,1,6,Acer,rubrum,1,,29
3330,1,6,Maianthemum,canadense,,,30
3330,1,6,Carex,siccata,,,31
3330,1,6,Physalis ,heterophylla,,,32
3330,1,7,Quercus,ellipsoidalis,1,,33
3330,1,7,Maianthemum,canadense,,,34
3330,1,7,Carex,siccata,,,35
3330,1,8,Quercus,ellipsoidalis,4,,36
3330,1,8,Pinus,banksiana,1,,37
3330,1,8,Maianthemum,canadense,,,38
3330,1,8,Carex,siccata,,,39
3330,1,9,Quercus,ellipsoidalis,4,,40
3330,1,9,Gaylussacia,baccata,,,41
3330,1,9,Maianthemum,canadense,,,42
3330,1,9,Carex,siccata,,,43
3330,1,10,Quercus,ellipsoidalis,7,,44
3330,1,10,Gaylussacia,baccata,,,45
3330,1,10,Carex,siccata,,,46
3330,2,1,Vaccinium,angustifolium,,,47
3330,2,1,Gaylussacia,baccata,,,48
3330,2,1,Carex,siccata,,,49
3330,2,2,Vaccinium,angustifolium,,,50
3330,2,2,Gaylussacia,baccata,,,51
3330,2,3,Pinus,banksiana,3,,52
3330,2,3,Gaylussacia,baccata,,,53
3330,2,3,Carex,siccata,,,54
3330,2,4,Quercus,ellipsoidalis,5,,55
3330,2,4,Gaylussacia,baccata,,,56
3330,2,4,Maianthemum,canadense,,,57
3330,2,4,Carex,siccata,,,58
3330,2,5,Quercus,ellipsoidalis,4,,59
3330,2,5,Gaylussacia,baccata,,,60
3330,2,5,Carex,siccata,,,61
3330,2,6,Quercus,ellipsoidalis,3,,62
3330,2,6,Gaylussacia,baccata,,,63
3330,2,6,Maianthemum,canadense,,,64
3330,2,6,Carex,siccata,,,65
3330,2,7,Quercus,ellipsoidalis,3,,66
3330,2,7,Carex,siccata,,,67
3330,2,8,Quercus,ellipsoidalis,1,,68
3330,2,8,Carex,siccata,,,69
3330,2,9,Quercus,ellipsoidalis,1,,70
3330,2,9,Carex,siccata,,,71
3330,2,10,Quercus,ellipsoidalis,4,,72
3330,2,10,Carex,siccata,,,73
3330,3,1,Vaccinium,angustifolium,,,74
3330,3,1,Gaultheria,procumbens,,,75
3330,3,1,Maianthemum,canadense,,,76
3330,3,1,Carex,siccata,,,77
3330,3,2,Quercus,ellipsoidalis,2,,78
3330,3,2,Maianthemum,canadense,,,79
3330,3,2,Carex,siccata,,,80
3330,3,3,Quercus,ellipsoidalis,1,,81
3330,3,3,Viola,sagittata,,,82
3330,3,3,Aster,oolentangiensis,,,83
3330,3,4,Quercus,ellipsoidalis,1,,84
3330,3,4,Pinus,banksiana,1,,85
3330,3,4,Vaccinium,angustifolium,,,86
3330,3,4,Gaylussacia,baccata,,,87
3330,3,4,Carex,siccata,,,88
3330,3,5,Quercus,ellipsoidalis,4,,89
3330,3,5,Gaylussacia,baccata,,,90
3330,3,5,Carex,siccata,,,91
3330,3,6,Quercus,ellipsoidalis,3,,92
3330,3,6,Gaylussacia,baccata,,,93
3330,3,6,Carex,siccata,,,94
3330,3,7,Quercus,ellipsoidalis,1,,95
3330,3,7,Vaccinium,angustifolium,,,96
3330,3,7,Gaylussacia,baccata,,,97
3330,3,7,Carex,siccata,,,98
3330,3,8,Quercus,ellipsoidalis,1,,99
3330,3,8,Vaccinium,angustifolium,,,100
3330,3,8,Carex,siccata,,,101
3330,3,9,Quercus,ellipsoidalis,3,,102
3330,3,9,Carex,siccata,,,103
3330,3,10,Quercus,ellipsoidalis,4,,104
3330,3,10,Quercus,alba,1,,105
3330,3,10,Carex,siccata,,,106
3330,3,10,Rubus,allegheniensis,,,107
3330,4,1,Quercus,ellipsoidalis,2,,108
3330,4,1,Gaylussacia,baccata,,,109
3330,4,1,Carex,siccata,,,110
3330,4,2,Quercus,alba,1,,111
3330,4,2,Acer,rubrum,1,,112
3330,4,2,Vaccinium,angustifolium,,,113
3330,4,2,Gaylussacia,baccata,,,114
3330,4,2,Pteridium,aquilinum,,,115
3330,4,2,Maianthemum,canadense,,,116
3330,4,2,Carex,siccata,,,117
3330,4,2,Rubus,allegheniensis,,,118
3330,4,2,Prunus,serotina,1,,119
3330,4,3,Quercus,ellipsoidalis,11,,120
3330,4,3,Pinus,strobus,1,,121
3330,4,3,Acer,rubrum,1,,122
3330,4,3,Vaccinium,angustifolium,,,123
3330,4,3,Gaylussacia,baccata,,,124
3330,4,3,Pteridium,aquilinum,,,125
3330,4,3,Maianthemum,canadense,,,126
3330,4,3,Rubus,allegheniensis,,,127
3330,4,4,Pinus,strobus,1,,128
3330,4,4,Vaccinium,angustifolium,,,129
3330,4,4,Gaylussacia,baccata,,,130
3330,4,4,Pteridium,aquilinum,,,131
3330,4,4,Rubus ,allegheniensis,,,132
3330,4,4,Polygonatum,biflora,,,133
3330,4,5,Quercus,ellipsoidalis,2,,134
3330,4,5,Gaylussacia,baccata,,,135
3330,4,5,Pteridium,aquilinum,,,136
3330,4,5,Carex,siccata,,,137
3330,4,6,Quercus,ellipsoidalis,6,,138
3330,4,6,Vaccinium,angustifolium,,,139
3330,4,6,Carex,siccata,,,140
3330,4,7,Maianthemum,canadense,,,141
3330,4,7,Carex,siccata,,,142
3330,4,8,Maianthemum,canadense,,,143
3330,4,9,Quercus,ellipsoidalis,4,,144
3330,4,9,Pinus,banksiana,1,,145
3330,4,9,Vaccinium,angustifolium,,,146
3330,4,9,Carex,siccata,,,147
3330,4,10,Quercus,ellipsoidalis,5,,148
3330,4,10,Acer,rubrum,1,,149
3330,4,10,Carex,siccata,,,150
3330,5,1,Quercus,ellipsoidalis,6,,151
3330,5,1,Acer,rubrum,1,,152
3330,5,1,Gaylussacia,baccata,,,153
3330,5,1,Maianthemum,canadense,,,154
3330,5,1,Carex,siccata,,,155
3330,5,1,Rubus,allegheniensis,,,156
3330,5,2,Quercus,ellipsoidalis,3,,157
3330,5,2,Quercus,alba,1,,158
3330,5,2,Acer,rubrum,1,,159
3330,5,2,Vaccinium,angustifolium,,,160
3330,5,2,Gaylussacia,baccata,,,161
3330,5,2,Maianthemum,canadense,,,162
3330,5,2,Carex,siccata,,,163
3330,5,3,Quercus,ellipsoidalis,3,,164
3330,5,3,Gaylussacia,baccata,,,165
3330,5,3,Pteridium,aquilinum,,,166
3330,5,3,Carex,siccata,,,167
3330,5,3,Betula,sp,1,,168
3330,5,4,Vaccinium,angustifolium,,,169
3330,5,4,Carex,siccata,,,170
3330,5,5,Quercus,ellipsoidalis,1,,171
3330,5,5,Acer,rubrum,1,,172
3330,5,5,Pteridium,aquilinum,,,173
3330,5,5,Maianthemum,canadense,,,174
3330,5,5,Lysimachia,quadrifolia,,,175
3330,5,5,Carex,siccata,,,176
3330,5,5,Rubus,allegheniensis,,,177
3330,5,6,Pinus,strobus,1,,178
3330,5,6,Vaccinium,angustifolium,,,179
3330,5,6,Gaylussacia,baccata,,,180
3330,5,6,Pteridium,aquilinum,,,181
3330,5,6,Maianthemum,canadense,,,182
3330,5,6,Carex,siccata,,,183
3330,5,7,Quercus,ellipsoidalis,4,,184
3330,5,7,Quercus,alba,2,,185
3330,5,7,Pinus,strobus,1,,186
3330,5,7,Vaccinium,angustifolium,,,187
3330,5,7,Maianthemum,canadense,,,188
3330,5,7,Carex,siccata,,,189
3330,5,7,Ilex,verticillata,,,190
3330,5,8,Quercus,ellipsoidalis,5,,191
3330,5,8,Vaccinium,angustifolium,,,192
3330,5,8,Pteridium,aquilinum,,,193
3330,5,8,Maianthemum,canadense,,,194
3330,5,8,Prenanthes,alba,,,195
3330,5,8,Carex,siccata,,,196
3330,5,8,Ilex,verticillata,,,197
3330,5,8,Achillea,millefolium,,,198
3330,5,8,Aster,sp,,,199
3330,5,9,Quercus,ellipsoidalis,4,,200
3330,5,9,Vaccinium,angustifolium,,,201
3330,5,9,Gaultheria,procumbens,,,202
3330,5,9,Maianthemum,canadense,,,203
3330,5,9,Carex,siccata,,,204
3330,5,10,Acer,rubrum,1,,205
3330,5,10,Vaccinium,angustifolium,,,206
3330,5,10,Gaylussacia,baccata,,,207
3330,5,10,Pteridium,aquilinum,,,208
3330,5,10,Maianthemum,canadense,,,209
3330,5,10,Carex,siccata,,,210
3294,1,1,Vaccinium,angustifolium,,,211
3294,1,1,Gaylussacia,baccata,,,212
3294,1,1,Acer,rubrum,11,,213
3294,1,1,Trientalis,borealis,,,214
3294,1,1,Gaultheria,procumbens,,,215
3294,1,2,Vaccinium,angustifolium,,,216
3294,1,2,Gaylussacia,baccata,,,217
3294,1,2,Acer,rubrum,9,,218
3294,1,2,Quercus,alba,2,,219
3294,1,2,Quercus,velutina,2,,220
3294,1,2,Rubus,hispidus,,,221
3294,1,3,Vaccinium,angustifolium,,,222
3294,1,3,Gaylussacia,baccata,,,223
3294,1,3,Acer,rubrum,7,,224
3294,1,3,Quercus,velutina,1,,225
3294,1,3,Pteridium,aquilinum,,,226
3294,1,4,Vaccinium,angustifolium,,,227
3294,1,4,Gaylussacia,baccata,,,228
3294,1,4,Accer,rubrum,2,,229
3294,1,5,Vaccinium,angustifolium,,,230
3294,1,5,Gaylussacia,baccata,,,231
3294,1,5,Accer,rubrum,5,,232
3294,1,5,Rubus,hispidus,,,233
3294,1,5,Pteridium,aquilinum,,,234
3294,1,5,Pinus,strobus,1,,235
3294,1,6,Vaccinium,angustifolium,,,236
3294,1,6,Gaylussacia ,baccata,,,237
3294,1,6,Acer,rubrum,10,,238
3294,1,6,Gaultheria,procumbens,,,239
3294,1,6,Pteridium,aquilinum,,,240
3294,1,6,Pinus,strobus,1,,241
3294,1,6,Rubus,allegheniensis,,,242
3294,1,6,Maianthemum,racemosum,,,243
3294,1,7,Gaylussacia,baccata,,,244
3294,1,7,Gaultheria,procumbens,,,245
3294,1,7,Rubus,hispidus,,,246
3294,1,7,Pteridium,aquilinum,,,247
3294,1,8,Vaccinium,angustifolium,,,248
3294,1,8,Gaylussacia,baccata,,,249
3294,1,8,Acer,rubrum,2,,250
3294,1,8,Gaultheria,procumbens,,,251
3294,1,8,Rubus,hispidus,,,252
3294,1,8,Epigaea,repens,,,253
3294,1,8,Maianthemum,racemosum,,,254
3294,1,9,Gaylussacia,baccata,,,255
3294,1,9,Quercus,velutina,1,,256
3294,1,9,Pinus,strobus,2,,257
3294,1,10,Vaccinium,angustifolium,,,258
3294,1,10,Quercus,velutina,1,,259
3294,1,10,Pinus,strobus,1,,260
3294,1,10,Rubus,allegheniensis,,,261
3294,2,1,Vaccinium,angustifolium,,,262
3294,2,1,Gaylussacia,baccata,,,263
3294,2,1,Carex,pensylvanica,,,264
3294,2,1,Trientalis,borealis,,,265
3294,2,1,Gaultheria,procumbens,,,266
3294,2,1,Acer,rubrum,27,,267
3294,2,1,Quercus,velutina,2,,268
3294,2,1,Aronia,melanocarpa,,,269
3294,2,2,Vaccinium,angustifolium,,,270
3294,2,2,Gaylussacia,baccata,,,271
3294,2,2,Trientalis,borealis,,,272
3294,2,2,Gaultheria,procumbens,,,273
3294,2,2,Acer,rubrum,8,,274
3294,2,2,Quercus,velutina,5,,275
3294,2,2,Pteridium,aquilinum,,,276
3294,2,2,Pinus,strobus,1,,277
3294,2,3,Vaccinium,angustifolium,,,278
3294,2,3,Gaylussacia,baccata,,,279
3294,2,3,Carex,pensylvanica,,,280
3294,2,3,Acer,rubrum,12,,281
3294,2,3,Pteridium,aquilinum,,,282
3294,2,3,Pinus,strobus,3,,283
3294,2,3,Rubus,hispidus,,,284
3294,2,3,Eurybia,macrophylla,,,285
3294,2,4,Vaccinium,angustifolium,,,286
3294,2,4,Gaylussacia,baccata,,,287
3294,2,4,Trientalis,borealis,,,288
3294,2,4,Gaultheria,procumbens,,,289
3294,2,4,Pteridium,aquilinum,,,290
3294,2,4,Pinus,strobus,1,,291
3294,2,4,Rubus,hispidus,,,292
3294,2,4,Cornus,canadense,,,293
3294,2,5,Vaccinium,angustifolium,,,294
3294,2,5,Maianthemum,canadense,,,295
3294,2,5,Trientalis,borealis,,,296
3294,2,5,Acer,rubrum,4,,297
3294,2,5,Pteridium,aquilinum,,,298
3294,2,5,Pinus,strobus,3,,299
3294,2,5,Rubus,hispidus,,,300
3294,2,5,Lysimachia,quadrifolia,,,301
3294,2,5,Calamagrostis ,canadensis,,,302
3294,2,5,Aralia,nudicaulis,,,303
3294,2,5,Quercus,ellipsoidalis,3,,304
3294,2,6,Vaccinium,angustifolium,,,305
3294,2,6,Maianthemum,canadense,,,306
3294,2,6,Trientalis,borealis,,,307
3294,2,6,Rubus,hispidus,,,308
3294,2,7,Vaccinium,angustifolium,,,309
3294,2,7,Gaultheria,procumbens,,,310
3294,2,7,Acer,rubrum,5,,311
3294,2,7,Aronia,melanocarpa,,,312
3294,2,7,Rubus,hispidus,,,313
3294,2,7,Lysimachia,quadrifolia,,,314
3294,2,8,Vaccinium,angustifolium,,,315
3294,2,8,Gaylussacia,baccata,,,316
3294,2,8,Maianthemum,canadense,,,317
3294,2,8,Acer,rubrum,6,,318
3294,2,8,Quercus,velutina,1,,319
3294,2,8,Aronia,melanocarpa,,,320
3294,2,8,Pinus,strobus,1,,321
3294,2,8,Rubus,hispidus,,,322
3294,2,9,Vaccinium,angustifolium,,,323
3294,2,9,Gaylussacia,baccata,,,324
3294,2,9,Trientalis,borealis,,,325
3294,2,9,Acer,rubrum,7,,326
3294,2,9,Quercus,velutina,1,,327
3294,2,9,Aronia,melanocarpa,,,328
3294,2,9,Cornus,canadense,,,329
3294,2,9,Dryopteris,carthusiana,,,330
3294,2,10,Vaccinium,angustifolium,,,331
3294,2,10,Trientalis,borealis,,,332
3294,2,10,Acer,rubrum,3,,333
3294,2,10,Aronia,melanocarpa,,,334
3294,3,1,Vaccinium,angustifolium,,,335
3294,3,1,Gaylussacia,baccata,,,336
3294,3,1,Pteridium,aquilinum,,,337
3294,3,1,Quercus,velutina,1,,338
3294,3,2,Vaccinium,angustifolium,,,339
3294,3,2,Gaylussacia,baccata,,,340
3294,3,2,Rubus,hispidus,,,341
3294,3,2,Acer,rubrum,15,,342
3294,3,2,Trientalis,borealis,,,343
3294,3,3,Pteridium,aquilinum,,,344
3294,3,3,Rubus,hispidus,,,345
3294,3,3,Acer,rubrum,30,,346
3294,3,3,Lycopodium,clavatum,,,347
3294,3,3,Cornus,canadense,,,348
3294,3,3,Ilex,verticillata,,,349
3294,3,3,Lysimachia,quadrifolia,,,350
3294,3,3,Rubus,allegheniensis,,,351
3294,3,4,Vaccinium,angustifolium,,,352
3294,3,4,Maianthemum,canadense,,,353
3294,3,4,Carex,pensylvanica,,,354
3294,3,4,Pinus,strobus,1,,355
3294,3,4,Pteridium,aquilinum,,,356
3294,3,4,Rubus,hispidus,,,357
3294,3,4,Lycopodium,clavatum,,,358
3294,3,4,Trientalis,borealis,,,359
3294,3,4,Cornus,canadense,,,360
3294,3,4,Apocynum,androsaemifolium ,,,361
3294,3,4,Ilex,verticillata,,,362
3294,3,4,Lysimachia,quadrifolia,,,363
3294,3,5,Maianthemum,canadense,,,364
3294,3,5,Carex,pensylvanica,,,365
3294,3,5,Rubus,hispidus,,,366
3294,3,5,Acer,rubrum,10,,367
3294,3,5,Lycopodium,clavatum,,,368
3294,3,5,Gaultheria,procumbens,,,369
3294,3,6,Gaylussacia,baccata,,,370
3294,3,6,Carex,pensylvanica,,,371
3294,3,6,Acer,rubrum,9,,372
3294,3,6,Lycopodium,clavatum,,,373
3294,3,7,Vaccinium,angustifolium,,,374
3294,3,7,Gaylussacia,baccata,,,375
3294,3,7,Maianthemum,canadense,,,376
3294,3,7,Pteridium,aquilinum,,,377
3294,3,7,Rubus,hispidus,,,378
3294,3,8,Vaccinium,angustifolium,,,379
3294,3,8,Gaylussacia,baccata,,,380
3294,3,8,Pinus,strobus,2,,381
3294,3,8,Pteridium,aquilinum,,,382
3294,3,8,Rubus,hispidus,,,383
3294,3,8,Acer,rubrum,9,,384
3294,3,8,Lycopodium,clavatum,,,385
3294,3,9,Vaccinium,angustifolium,,,386
3294,3,9,Carex,pensylvanica,,,387
3294,3,9,Rubus,hispidus,,,388
3294,3,9,Acer,rubrum,15,,389
3294,3,9,Osmunda,cinnamomea,,,390
3294,3,9,Lycopodium,clavatum,,,391
3294,3,10,Vaccinium,angustifolium,,,392
3294,3,10,Gaylussacia,baccata,,,393
3294,3,10,Maianthemum,canadense,,,394
3294,3,10,Pinus,strobus,3,,395
3294,3,10,Pteridium,aquilinum,,,396
3294,3,10,Rubus,hispidus,,,397
3294,3,10,Acer,rubrum,17,,398
3294,4,1,Vaccinium,angustifolium,,,399
3294,4,1,Maianthemum,canadense,,,400
3294,4,1,Carex,pensylvanica,,,401
3294,4,1,Rubus,hispidus,,,402
3294,4,1,Acer,rubrum,4,,403
3294,4,1,Trientalis,borealis,,,404
3294,4,1,Quercus,velutina,1,,405
3294,4,1,Lysimachia,quadrifolia,,,406
3294,4,2,Vaccinium,angustifolium,,,407
3294,4,2,Gaylussacia,baccata,,,408
3294,4,2,Maianthemum,canadense,,,409
3294,4,2,Rubus,hispidus,,,410
3294,4,2,Acer,rubrum,8,,411
3294,4,2,Gaultheria,procumbens,,,412
3294,4,2,Trientalis,borealis,,,413
3294,4,2,Pteridium,aquilinum,,,414
3294,4,3,Vaccinium,angustifolium,,,415
3294,4,3,Gaylussacia,baccata,,,416
3294,4,3,Rubus,hispidus,,,417
3294,4,3,Acer,rubrum,6,,418
3294,4,3,Gaultheria,procumbens,,,419
3294,4,3,Aronia,melanocarpa,,,420
3294,4,3,Pteridium,aquilinum,,,421
3294,4,3,Cypripedium,acaule,,,422
3294,4,4,Vaccinium,angustifolium,,,423
3294,4,4,Gaylussacia,baccata,,,424
3294,4,4,Carex,pensylvanica,,,425
3294,4,4,Rubus,hispidus,,,426
3294,4,4,Pinus,strobus,2,,427
3294,4,4,Acer,rubrum,5,,428
3294,4,4,Aronia,melanocarpa,,,429
3294,4,4,Pteridium,aquilinum,,,430
3294,4,5,Vaccinium,angustifolium,,,431
3294,4,5,Gaylussacia,baccata,,,432
3294,4,5,Rubus,hispidus,,,433
3294,4,5,Pinus,strobus,2,,434
3294,4,5,Acer,rubrum,17,,435
3294,4,5,Gaultheria,procumbens,,,436
3294,4,5,Aronia,melanocarpa,,,437
3294,4,5,Trientalis,borealis,,,438
3294,4,5,Cornus,canadense,,,439
3294,4,6,Vaccinium,angustifolium,,,440
3294,4,6,Gaylussacia,baccata,,,441
3294,4,6,Maianthemum,canadense,,,442
3294,4,6,Pinus,strobus,1,,443
3294,4,6,Acer,rubrum,11,,444
3294,4,6,Gaultheria,procumbens,,,445
3294,4,6,Cornus,canadense,,,446
3294,4,6,Quercus,velutina,1,,447
3294,4,7,Vaccinium,angustifolium,,,448
3294,4,7,Gaylussacia,baccata,,,449
3294,4,7,Maianthemum,canadense,,,450
3294,4,7,Rubus,hispidus,,,451
3294,4,7,Acer,rubrum,6,,452
3294,4,7,Pteridium,aquilinum,,,453
3294,4,7,Cornus,canadense,,,454
3294,4,8,Vaccinium,angustifolium,,,455
3294,4,8,Gaylussacia,baccata,,,456
3294,4,8,Acer,rubrum,4,,457
3294,4,8,Aronia,melanocarpa,,,458
3294,4,8,Trientalis,borealis,,,459
3294,4,9,Vaccinium,angustifolium,,,460
3294,4,9,Gaylussacia,baccata,,,461
3294,4,9,Maianthemum,canadense,,,462
3294,4,9,Rubus,hispidus,,,463
3294,4,9,Pinus,strobus,1,,464
3294,4,9,Acer,rubrum,8,,465
3294,4,9,Gaultheria,procumbens,,,466
3294,4,9,Aronia,melanocarpa,,,467
3294,4,10,Carex,pensylvanica,,,468
3294,4,10,Rubus,hispidus,,,469
3294,4,10,Pinus,strobus,1,,470
3294,4,10,Viburnum,acerifolium,,,471
3294,4,10,Acer,rubrum,3,,472
3294,5,1,Vaccinium,angustifolium,,,473
3294,5,1,Quercus,velutina,1,,474
3294,5,1,Acer,rubrum,2,,475
3294,5,2,Vaccinium,angustifolium,,,476
3294,5,2,Gaylussacia,baccata,,,477
3294,5,2,Acer,rubrum,9,,478
3294,5,2,Pteridium,aquilinum,,,479
3294,5,2,Cypripedium,acaule,,,480
3294,5,2,Rubus,sp,,,481
3294,5,2,Lycopodium,clavatum,,,482
3294,5,3,Vaccinium,angustifolium,,,483
3294,5,3,Gaylussacia,baccata,,,484
3294,5,3,Acer,rubrum,5,,485
3294,5,3,Pteridium,aquilinum,,,486
